RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,DateofCalculation
HH,BITS,1,DK,26HF,TVS,,S,,58,29,2022,3,2,615,8,15,N,55.7426,12.7101,55.7548,12.7173,40G2,11,V,57,1,1,R,1.4,,,1423,136,,,-9,,58.2,-9,,-9,,,3.1,-9,,-9,,-9,17,4,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,136,69,2022,3,12,909,8,30,D,55.7879,10.6974,55.8024,10.7368,40G0,18,V,137,1,1,R,1.3,,,2948,140,,,-9,,61.5,-9,,-9,,,3.2,-9,,-9,,-9,165,13,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,56,28,2022,3,1,1404,8,25,D,55.8208,12.7092,55.8025,12.7262,40G2,19,V,55,1,1,R,1.3,,,2292,136,,,-9,,55.3,-9,,-9,,,3,-9,,-9,,-9,197,6,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,140,71,2022,3,12,1346,8,30,D,55.9209,11.226,55.9009,11.2551,40G1,12,V,141,1,1,R,1.2,,,2874,136,,,-9,,64.2,-9,,-9,,,3.1,-9,,-9,,-9,166,8,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,53,27,2022,3,1,1148,8,30,D,55.9603,12.6442,55.9383,12.6272,40G2,16,V,54,1,1,R,1.4,,,2663,136,,,-9,,58.2,-9,,-9,,,3,-9,,-9,,-9,170,10,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,144,73,2022,3,13,937,8,30,D,55.9879,10.6506,56.0006,10.6901,40G0,12,V,145,1,1,R,1.2,,,2834,136,,,-9,,63,-9,,-9,,,3.1,-9,,-9,,-9,140,8,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,139,70,2022,3,12,1154,9,30,D,55.9908,11.039,56.0144,11.0527,40G1,32,V,138,1,1,R,1.1,,,2763,150,,,-9,,60.7,-9,,-9,,,3,-9,,-9,,-9,146,4,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,52,26,2022,3,1,613,9,10,N,56.1172,12.468,56.1218,12.4555,41G2,26,I,51,1,1,R,1.3,,,925,136,,,-9,,59.5,-9,,-9,,,3,-9,,-9,,-9,170,4,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,146,74,2022,3,13,1153,9,30,D,56.1341,10.9818,56.1587,10.9959,41G0,20,V,147,1,1,R,1.2,,,2871,136,,,-9,,62.5,-9,,-9,,,3.1,-9,,-9,,-9,140,8,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
HH,BITS,1,DK,26HF,TVS,,S,,31,16,2022,2,26,924,9,30,D,56.199,11.5686,56.2221,11.5882,41G1,20,V,32,1,1,R,1.4,,,2843,136,,,-9,,60.2,-9,,-9,,,3,-9,,-9,,-9,75,1,,-9,-9,-9,-9,-9,,,,,,,,,,,20220420
